context,a,b,scale,pair_id,generated_a,generated_b,same_context,polarity,balanced_valence,ok,comment,reversed_corrected,accepted,generated_pair_key,duplicate_generated_pair,analysis_positive,analysis_negative,positive_pole,negative_pole
You and a group of friends are deciding where to have dinner.,I suggest the restaurant with the highest ratings and the most central location for everyone.,I ask if anyone has specific dietary needs or cravings to ensure everyone is comfortable with the choice.,FT,10,I suggest the restaurant with the highest ratings and the most central location for everyone.,I ask if anyone has specific dietary needs or cravings to ensure everyone is comfortable with the choice.,True,correct,True,True,"Option a relies on external ratings and geographic logic (FIRST), while option b accommodates individual needs and comfort (SECOND).",False,True,i ask if anyone has specific dietary needs or cravings to ensure everyone is comfortable with the choice || i suggest the restaurant with the highest ratings and the most central location for everyone,False,I suggest the restaurant with the highest ratings and the most central location for everyone.,I ask if anyone has specific dietary needs or cravings to ensure everyone is comfortable with the choice.,T,F
You have one promotion to award between two eligible team members.,I promote the person who has consistently achieved the highest sales and productivity numbers this year.,I promote the person who has shown outstanding dedication to supporting others and building team morale.,FT,11,I promote the person who has consistently achieved the highest sales and productivity numbers this year.,I promote the person who has shown outstanding dedication to supporting others and building team morale.,True,correct,True,True,"Option a rewards measurable productivity achievements (FIRST), while option b rewards community-building and morale (SECOND).",False,True,i promote the person who has consistently achieved the highest sales and productivity numbers this year || i promote the person who has shown outstanding dedication to supporting others and building team morale,False,I promote the person who has consistently achieved the highest sales and productivity numbers this year.,I promote the person who has shown outstanding dedication to supporting others and building team morale.,T,F
"An acquaintance invites you to their weekend social gathering, but you are tired.","I decline politely, stating clearly that I have prior commitments and need to rest.","I thank them warmly and explain how much I appreciate the invite, ensuring they don't feel rejected.",FT,12,"I decline politely, stating clearly that I have prior commitments and need to rest.","I thank them warmly and explain how much I appreciate the invite, ensuring they don't feel rejected.",True,correct,True,True,"Option a gives a direct, logical response (FIRST), while option b emphasizes relationship management and feelings (SECOND).",False,True,i decline politely stating clearly that i have prior commitments and need to rest || i thank them warmly and explain how much i appreciate the invite ensuring they don t feel rejected,False,"I decline politely, stating clearly that I have prior commitments and need to rest.","I thank them warmly and explain how much I appreciate the invite, ensuring they don't feel rejected.",T,F
"You must restructure your department, which might change some roles.",I design the new structure based purely on operational efficiency and resource optimization.,I consult with each team member to find roles that match their personal career goals and comfort levels.,FT,13,I design the new structure based purely on operational efficiency and resource optimization.,I consult with each team member to find roles that match their personal career goals and comfort levels.,True,correct,True,True,"Option a prioritizes operational optimization (FIRST), while option b focuses on personal goals and alignment (SECOND).",False,True,i consult with each team member to find roles that match their personal career goals and comfort levels || i design the new structure based purely on operational efficiency and resource optimization,False,I design the new structure based purely on operational efficiency and resource optimization.,I consult with each team member to find roles that match their personal career goals and comfort levels.,T,F
The company database goes offline during a busy workday.,I systematically isolate the variables to find the root technical cause of the failure.,I immediately reassure the worried team members and coordinate our communication to keep everyone calm.,FT,14,I systematically isolate the variables to find the root technical cause of the failure.,I immediately reassure the worried team members and coordinate our communication to keep everyone calm.,True,correct,True,True,"Option a applies systematic debugging logic (FIRST), while option b acts to calm the team and restore group morale (SECOND).",False,True,i immediately reassure the worried team members and coordinate our communication to keep everyone calm || i systematically isolate the variables to find the root technical cause of the failure,False,I systematically isolate the variables to find the root technical cause of the failure.,I immediately reassure the worried team members and coordinate our communication to keep everyone calm.,T,F
A coworker asks for your feedback on a report they wrote.,I mark up every factual error and formatting inconsistency to ensure the document is flawless.,I focus on praising their hard work and gently suggest a few ways to make the writing smoother.,FT,15,I mark up every factual error and formatting inconsistency to ensure the document is flawless.,I focus on praising their hard work and gently suggest a few ways to make the writing smoother.,True,correct,True,True,"Option a points out errors objectively (FIRST), while option b prioritizes support, encouragement, and tactile delivery (SECOND).",False,True,i focus on praising their hard work and gently suggest a few ways to make the writing smoother || i mark up every factual error and formatting inconsistency to ensure the document is flawless,False,I mark up every factual error and formatting inconsistency to ensure the document is flawless.,I focus on praising their hard work and gently suggest a few ways to make the writing smoother.,T,F
You need to select a professional development course for your team.,I pick the course that covers the most relevant technical skills and offers a certified qualification.,I choose the program that focuses on interpersonal dynamics and helping team members work better together.,FT,16,I pick the course that covers the most relevant technical skills and offers a certified qualification.,I choose the program that focuses on interpersonal dynamics and helping team members work better together.,True,correct,True,True,"Option a optimizes for concrete, certified technical skills (FIRST), while option b focuses on interpersonal and group dynamics (SECOND).",False,True,i choose the program that focuses on interpersonal dynamics and helping team members work better together || i pick the course that covers the most relevant technical skills and offers a certified qualification,False,I pick the course that covers the most relevant technical skills and offers a certified qualification.,I choose the program that focuses on interpersonal dynamics and helping team members work better together.,T,F
You are dining out with a large group of colleagues.,I calculate the exact amount each person owes based on what they ordered.,I suggest dividing the bill equally among everyone to avoid any awkwardness or stress.,FT,17,I calculate the exact amount each person owes based on what they ordered.,I suggest dividing the bill equally among everyone to avoid any awkwardness or stress.,True,correct,True,True,"Option a strictly calculates exact mathematical division (FIRST), while option b prioritizes social ease and reducing stress (SECOND).",False,True,i calculate the exact amount each person owes based on what they ordered || i suggest dividing the bill equally among everyone to avoid any awkwardness or stress,False,I calculate the exact amount each person owes based on what they ordered.,I suggest dividing the bill equally among everyone to avoid any awkwardness or stress.,T,F
An employee asks to adjust their working hours for personal reasons.,I evaluate how the change impacts the team's operational coverage and contract requirements.,I approve the request because I want to support their well-being and maintain a positive relationship.,FT,18,I evaluate how the change impacts the team's operational coverage and contract requirements.,I approve the request because I want to support their well-being and maintain a positive relationship.,True,correct,True,True,"Option a evaluates metrics and structural coverage (FIRST), while option b supports personal well-being and relationships (SECOND).",False,True,i approve the request because i want to support their well being and maintain a positive relationship || i evaluate how the change impacts the team s operational coverage and contract requirements,False,I evaluate how the change impacts the team's operational coverage and contract requirements.,I approve the request because I want to support their well-being and maintain a positive relationship.,T,F
You are asked to give a speech at a close friend's wedding.,I prepare a well-structured speech outlining the couple's history and key milestones in their relationship.,I share a deeply heartfelt story focusing on my friendship and expressing my love and hopes for them.,FT,19,I prepare a well-structured speech outlining the couple's history and key milestones in their relationship.,I share a deeply heartfelt story focusing on my friendship and expressing my love and hopes for them.,True,correct,True,True,"Option a structures the speech around chronological events/milestones (FIRST), while option b focuses on emotional storytelling and feelings (SECOND).",False,True,i prepare a well structured speech outlining the couple s history and key milestones in their relationship || i share a deeply heartfelt story focusing on my friendship and expressing my love and hopes for them,False,I prepare a well-structured speech outlining the couple's history and key milestones in their relationship.,I share a deeply heartfelt story focusing on my friendship and expressing my love and hopes for them.,T,F
A customer requests a refund for a service they were slightly unhappy with.,I check if the situation meets our written terms and conditions before approving the request.,I process the refund immediately to make sure the customer feels valued and respected.,FT,20,I check if the situation meets our written terms and conditions before approving the request.,I process the refund immediately to make sure the customer feels valued and respected.,True,correct,True,True,"Option a follows formal terms and policy criteria (FIRST), while option b values customer connection and trust (SECOND).",False,True,i check if the situation meets our written terms and conditions before approving the request || i process the refund immediately to make sure the customer feels valued and respected,False,I check if the situation meets our written terms and conditions before approving the request.,I process the refund immediately to make sure the customer feels valued and respected.,T,F
Your company is donating money to a local charity.,I research charities with the lowest administrative overhead and the highest measurable impact per dollar.,I suggest a charity that supports a cause close to our employees' hearts and local community.,FT,21,I research charities with the lowest administrative overhead and the highest measurable impact per dollar.,I suggest a charity that supports a cause close to our employees' hearts and local community.,True,correct,True,True,"Option a evaluates efficiency metrics and financial overhead (FIRST), while option b targets emotional connection and employee values (SECOND).",False,True,i research charities with the lowest administrative overhead and the highest measurable impact per dollar || i suggest a charity that supports a cause close to our employees hearts and local community,False,I research charities with the lowest administrative overhead and the highest measurable impact per dollar.,I suggest a charity that supports a cause close to our employees' hearts and local community.,T,F
You are planning a vacation itinerary with your partner.,I research the most efficient route and create a detailed schedule of sights to visit.,I ask my partner what they most want to experience so we can create special memories together.,FT,22,I research the most efficient route and create a detailed schedule of sights to visit.,I ask my partner what they most want to experience so we can create special memories together.,True,correct,True,True,"Option a creates an efficient, logical timeline (FIRST), while option b prioritizes sharing special emotional memories with a partner (SECOND).",False,True,i ask my partner what they most want to experience so we can create special memories together || i research the most efficient route and create a detailed schedule of sights to visit,False,I research the most efficient route and create a detailed schedule of sights to visit.,I ask my partner what they most want to experience so we can create special memories together.,T,F
A client complains that a project deliverable does not match the initial contract.,I review the original scope of work document to see if the client's claim is contractually valid.,I focus on finding a mutually agreeable solution to preserve our long-term partnership and goodwill.,FT,23,I review the original scope of work document to see if the client's claim is contractually valid.,I focus on finding a mutually agreeable solution to preserve our long-term partnership and goodwill.,True,correct,True,True,"Option a relies on contractual facts and scope documents (FIRST), while option b aims to preserve the relationship and goodwill (SECOND).",False,True,i focus on finding a mutually agreeable solution to preserve our long term partnership and goodwill || i review the original scope of work document to see if the client s claim is contractually valid,False,I review the original scope of work document to see if the client's claim is contractually valid.,I focus on finding a mutually agreeable solution to preserve our long-term partnership and goodwill.,T,F
You are drafting new rules for remote work in your company.,"I establish clear, objective metrics to measure productivity and ensure everyone is held to the same standard.",I build the rules around trust and flexibility to accommodate the diverse personal needs of our employees.,FT,24,"I establish clear, objective metrics to measure productivity and ensure everyone is held to the same standard.",I build the rules around trust and flexibility to accommodate the diverse personal needs of our employees.,True,correct,True,True,"Option a uses standardized objective metrics (FIRST), while option b designs policies around human flexibility and personal needs (SECOND).",False,True,i build the rules around trust and flexibility to accommodate the diverse personal needs of our employees || i establish clear objective metrics to measure productivity and ensure everyone is held to the same standard,False,"I establish clear, objective metrics to measure productivity and ensure everyone is held to the same standard.",I build the rules around trust and flexibility to accommodate the diverse personal needs of our employees.,T,F
A colleague proposes a risky but potentially profitable business expansion.,"I analyze the financial projections, market data, and risk factors to determine viability.",I consider how this move will affect our current employees' workload and company culture.,FT,25,"I analyze the financial projections, market data, and risk factors to determine viability.",I consider how this move will affect our current employees' workload and company culture.,True,correct,True,True,"Option a evaluates financial and risk data (FIRST), while option b evaluates employee workload impact and company culture (SECOND).",False,True,i analyze the financial projections market data and risk factors to determine viability || i consider how this move will affect our current employees workload and company culture,False,"I analyze the financial projections, market data, and risk factors to determine viability.",I consider how this move will affect our current employees' workload and company culture.,T,F
A close friend is upset after going through a difficult breakup.,I help them look at the situation objectively and discuss practical steps they can take to move forward.,"I listen to them vent, validate their feelings, and offer my unconditional emotional support.",FT,26,I help them look at the situation objectively and discuss practical steps they can take to move forward.,"I listen to them vent, validate their feelings, and offer my unconditional emotional support.",True,correct,True,True,"Option a approaches the problem with analytical problem-solving (FIRST), while option b uses emotional validation and support (SECOND).",False,True,i help them look at the situation objectively and discuss practical steps they can take to move forward || i listen to them vent validate their feelings and offer my unconditional emotional support,False,I help them look at the situation objectively and discuss practical steps they can take to move forward.,"I listen to them vent, validate their feelings, and offer my unconditional emotional support.",T,F
You have to inform a candidate they did not get the job.,"I send a standard, professional email explaining that another candidate met the requirements more closely.",I write a personalized note thanking them for their time and offering encouraging words for their job search.,FT,27,"I send a standard, professional email explaining that another candidate met the requirements more closely.",I write a personalized note thanking them for their time and offering encouraging words for their job search.,True,correct,True,True,"Option a uses standard, objective professional messaging (FIRST), while option b targets a personalized, encouraging connection (SECOND).",False,True,i send a standard professional email explaining that another candidate met the requirements more closely || i write a personalized note thanking them for their time and offering encouraging words for their job search,False,"I send a standard, professional email explaining that another candidate met the requirements more closely.",I write a personalized note thanking them for their time and offering encouraging words for their job search.,T,F
You are leading a group project at university or work.,I assign tasks based strictly on each person's proven expertise and past performance.,I let team members choose tasks they are most passionate about and comfortable doing.,FT,28,I assign tasks based strictly on each person's proven expertise and past performance.,I let team members choose tasks they are most passionate about and comfortable doing.,True,correct,True,True,"Option a relies on capability metrics and expertise (FIRST), while option b focuses on personal motivation and team choice (SECOND).",False,True,i assign tasks based strictly on each person s proven expertise and past performance || i let team members choose tasks they are most passionate about and comfortable doing,False,I assign tasks based strictly on each person's proven expertise and past performance.,I let team members choose tasks they are most passionate about and comfortable doing.,T,F
Your neighbor is playing loud music late at night.,I review the local noise ordinances and call the non-emergency line if they violate the quiet hours.,"I go over and politely explain how the noise is affecting my sleep, hoping we can reach a friendly agreement.",FT,29,I review the local noise ordinances and call the non-emergency line if they violate the quiet hours.,"I go over and politely explain how the noise is affecting my sleep, hoping we can reach a friendly agreement.",True,correct,True,True,"Option a references rules and legal standards (FIRST), while option b prioritizes neighborly harmony and consensus (SECOND).",False,True,i go over and politely explain how the noise is affecting my sleep hoping we can reach a friendly agreement || i review the local noise ordinances and call the non emergency line if they violate the quiet hours,False,I review the local noise ordinances and call the non-emergency line if they violate the quiet hours.,"I go over and politely explain how the noise is affecting my sleep, hoping we can reach a friendly agreement.",T,F
You are deciding how to share household chores with a roommate.,I create a rotating chore chart to ensure all tasks are divided equally and systematically.,"I talk to them to find out which chores they dislike least, making sure we both feel comfortable.",FT,30,I create a rotating chore chart to ensure all tasks are divided equally and systematically.,"I talk to them to find out which chores they dislike least, making sure we both feel comfortable.",True,correct,True,True,"Option a uses a structured, mathematically equal template (FIRST), while option b seeks mutual alignment and personal comfort (SECOND).",False,True,i create a rotating chore chart to ensure all tasks are divided equally and systematically || i talk to them to find out which chores they dislike least making sure we both feel comfortable,False,I create a rotating chore chart to ensure all tasks are divided equally and systematically.,"I talk to them to find out which chores they dislike least, making sure we both feel comfortable.",T,F
Your department is switching to a more advanced but complex software system.,I schedule mandatory training sessions to ensure everyone meets the standard technical proficiency level.,I check in with team members to address their anxieties about learning a new system and offer extra help.,FT,31,I schedule mandatory training sessions to ensure everyone meets the standard technical proficiency level.,I check in with team members to address their anxieties about learning a new system and offer extra help.,True,correct,True,True,"Option a relies on consistent training protocols (FIRST), while option b addresses emotional resistance and anxiety (SECOND).",False,True,i check in with team members to address their anxieties about learning a new system and offer extra help || i schedule mandatory training sessions to ensure everyone meets the standard technical proficiency level,False,I schedule mandatory training sessions to ensure everyone meets the standard technical proficiency level.,I check in with team members to address their anxieties about learning a new system and offer extra help.,T,F
Your sibling asks if they should quit their stable job to pursue a creative passion.,I help them draft a financial budget and evaluate the market demand for their creative skills.,I encourage them to follow their dreams and reassure them that their personal happiness is most important.,FT,32,I help them draft a financial budget and evaluate the market demand for their creative skills.,I encourage them to follow their dreams and reassure them that their personal happiness is most important.,True,correct,True,True,"Option a analyzes financial projections and budgets (FIRST), while option b supports personal dreams and well-being (SECOND).",False,True,i encourage them to follow their dreams and reassure them that their personal happiness is most important || i help them draft a financial budget and evaluate the market demand for their creative skills,False,I help them draft a financial budget and evaluate the market demand for their creative skills.,I encourage them to follow their dreams and reassure them that their personal happiness is most important.,T,F
Your team is choosing a topic for a major presentation.,I suggest the topic that has the most accessible data and objective research available.,I suggest a topic that the team feels passionate about and that will engage our audience emotionally.,FT,33,I suggest the topic that has the most accessible data and objective research available.,I suggest a topic that the team feels passionate about and that will engage our audience emotionally.,True,correct,True,True,"Option a optimizes for database availability and objective facts (FIRST), while option b targets audience passion and engagement (SECOND).",False,True,i suggest a topic that the team feels passionate about and that will engage our audience emotionally || i suggest the topic that has the most accessible data and objective research available,False,I suggest the topic that has the most accessible data and objective research available.,I suggest a topic that the team feels passionate about and that will engage our audience emotionally.,T,F
A team member makes an error that costs the company a client.,I analyze where the process failed and update our procedures to prevent this error from happening again.,I support the team member through the stressful situation and help them rebuild their confidence.,FT,34,I analyze where the process failed and update our procedures to prevent this error from happening again.,I support the team member through the stressful situation and help them rebuild their confidence.,True,correct,True,True,"Option a isolates procedural errors and fixes systems (FIRST), while option b offers emotional support and rebuilds confidence (SECOND).",False,True,i analyze where the process failed and update our procedures to prevent this error from happening again || i support the team member through the stressful situation and help them rebuild their confidence,False,I analyze where the process failed and update our procedures to prevent this error from happening again.,I support the team member through the stressful situation and help them rebuild their confidence.,T,F
You are buying a farewell gift for a departing colleague.,I choose a practical gift card or high-quality office accessory that is widely useful.,I select a highly personalized item that reflects a shared memory or an inside joke we all enjoyed.,FT,35,I choose a practical gift card or high-quality office accessory that is widely useful.,I select a highly personalized item that reflects a shared memory or an inside joke we all enjoyed.,True,correct,True,True,"Option a chooses a universally useful, standard gift (FIRST), while option b emphasizes personal connection and shared history (SECOND).",False,True,i choose a practical gift card or high quality office accessory that is widely useful || i select a highly personalized item that reflects a shared memory or an inside joke we all enjoyed,False,I choose a practical gift card or high-quality office accessory that is widely useful.,I select a highly personalized item that reflects a shared memory or an inside joke we all enjoyed.,T,F
You are waiting for your food at a restaurant and it is taking a long time.,I calculate how long we have waited and ask the manager if they are meeting their service standards.,I assume the kitchen is busy or short-staffed and decide to wait patiently to avoid stressing the server.,FT,36,I calculate how long we have waited and ask the manager if they are meeting their service standards.,I assume the kitchen is busy or short-staffed and decide to wait patiently to avoid stressing the server.,True,correct,True,True,"Option a measures concrete wait time against service policies (FIRST), while option b practices empathy towards overworked staff (SECOND).",False,True,i assume the kitchen is busy or short staffed and decide to wait patiently to avoid stressing the server || i calculate how long we have waited and ask the manager if they are meeting their service standards,False,I calculate how long we have waited and ask the manager if they are meeting their service standards.,I assume the kitchen is busy or short-staffed and decide to wait patiently to avoid stressing the server.,T,F
You are setting the dress code policy for a new office.,I establish a clear professional standard that aligns with our corporate image and industry norms.,I choose a relaxed dress code so that employees feel comfortable and can express their individuality.,FT,37,I establish a clear professional standard that aligns with our corporate image and industry norms.,I choose a relaxed dress code so that employees feel comfortable and can express their individuality.,True,correct,True,True,"Option a values standard compliance and industry norms (FIRST), while option b prioritizes employee comfort and self-expression (SECOND).",False,True,i choose a relaxed dress code so that employees feel comfortable and can express their individuality || i establish a clear professional standard that aligns with our corporate image and industry norms,False,I establish a clear professional standard that aligns with our corporate image and industry norms.,I choose a relaxed dress code so that employees feel comfortable and can express their individuality.,T,F
You are mentoring a student who is struggling to choose a career path.,"I guide them through a systematic evaluation of job market growth, salary ranges, and their skill sets.",I help them explore what truly inspires them and what kind of work aligns with their core personal values.,FT,38,"I guide them through a systematic evaluation of job market growth, salary ranges, and their skill sets.",I help them explore what truly inspires them and what kind of work aligns with their core personal values.,True,correct,True,True,"Option a structures the choice around metrics and job stats (FIRST), while option b relies on core personal values and inspiration (SECOND).",False,True,i guide them through a systematic evaluation of job market growth salary ranges and their skill sets || i help them explore what truly inspires them and what kind of work aligns with their core personal values,False,"I guide them through a systematic evaluation of job market growth, salary ranges, and their skill sets.",I help them explore what truly inspires them and what kind of work aligns with their core personal values.,T,F
You are choosing how to run a charity collection drive.,I set up a structured system with clear targets and track daily progress on a shared spreadsheet.,I share inspiring stories about the cause to encourage people to contribute from the heart.,FT,39,I set up a structured system with clear targets and track daily progress on a shared spreadsheet.,I share inspiring stories about the cause to encourage people to contribute from the heart.,True,correct,True,True,"Option a implements a quantitative, spreadsheet-tracked structure (FIRST), while option b inspires contribution through emotional narratives (SECOND).",False,True,i set up a structured system with clear targets and track daily progress on a shared spreadsheet || i share inspiring stories about the cause to encourage people to contribute from the heart,False,I set up a structured system with clear targets and track daily progress on a shared spreadsheet.,I share inspiring stories about the cause to encourage people to contribute from the heart.,T,F
Planning a weekend trip with a group of friends.,I prefer to leave our daily schedule open and decide what to do based on our mood.,I prefer to book our activities and reservations ahead of time to secure our spots.,JP,0,I prefer to leave our daily schedule open and decide what to do based on our mood.,I prefer to book our activities and reservations ahead of time to secure our spots.,True,correct,True,True,,False,True,i prefer to book our activities and reservations ahead of time to secure our spots || i prefer to leave our daily schedule open and decide what to do based on our mood,False,I prefer to leave our daily schedule open and decide what to do based on our mood.,I prefer to book our activities and reservations ahead of time to secure our spots.,P,J
Managing a new project at work.,I like to start working immediately and let the project's direction evolve naturally as we go.,I prefer to establish a detailed schedule with milestone dates before starting any actual work.,JP,1,I like to start working immediately and let the project's direction evolve naturally as we go.,I prefer to establish a detailed schedule with milestone dates before starting any actual work.,True,correct,True,True,,False,True,i like to start working immediately and let the project s direction evolve naturally as we go || i prefer to establish a detailed schedule with milestone dates before starting any actual work,False,I like to start working immediately and let the project's direction evolve naturally as we go.,I prefer to establish a detailed schedule with milestone dates before starting any actual work.,P,J
Deciding on a place to eat for dinner.,Let's wander around downtown and choose a place to eat that looks good in the moment.,Let's choose a restaurant and book a table now so we know where we are going.,JP,2,Let's wander around downtown and choose a place to eat that looks good in the moment.,Let's choose a restaurant and book a table now so we know where we are going.,True,correct,True,True,,False,True,let s choose a restaurant and book a table now so we know where we are going || let s wander around downtown and choose a place to eat that looks good in the moment,False,Let's wander around downtown and choose a place to eat that looks good in the moment.,Let's choose a restaurant and book a table now so we know where we are going.,P,J
Running a weekly team meeting.,I like to keep the discussion open-ended and see where the team's ideas naturally take us.,I prefer to follow a strict agenda with specific time limits for each topic.,JP,3,I like to keep the discussion open-ended and see where the team's ideas naturally take us.,I prefer to follow a strict agenda with specific time limits for each topic.,True,correct,True,True,,False,True,i like to keep the discussion open ended and see where the team s ideas naturally take us || i prefer to follow a strict agenda with specific time limits for each topic,False,I like to keep the discussion open-ended and see where the team's ideas naturally take us.,I prefer to follow a strict agenda with specific time limits for each topic.,P,J
Writing an annual report for work.,I write down my thoughts as they come to me and organize the structure during the final edit.,I create a detailed outline first and write each section in sequential order.,JP,4,I write down my thoughts as they come to me and organize the structure during the final edit.,I create a detailed outline first and write each section in sequential order.,True,correct,True,True,,False,True,i create a detailed outline first and write each section in sequential order || i write down my thoughts as they come to me and organize the structure during the final edit,False,I write down my thoughts as they come to me and organize the structure during the final edit.,I create a detailed outline first and write each section in sequential order.,P,J
Going grocery shopping for the household.,I browse the aisles and buy whatever ingredients inspire me for meals when I get home.,I make a precise list based on a weekly meal plan and buy only those items.,JP,5,I browse the aisles and buy whatever ingredients inspire me for meals when I get home.,I make a precise list based on a weekly meal plan and buy only those items.,True,correct,True,True,,False,True,i browse the aisles and buy whatever ingredients inspire me for meals when i get home || i make a precise list based on a weekly meal plan and buy only those items,False,I browse the aisles and buy whatever ingredients inspire me for meals when I get home.,I make a precise list based on a weekly meal plan and buy only those items.,P,J
Packing clothes for a five-day vacation.,I pack a variety of versatile clothes so I can choose what to wear each morning.,I plan out a specific outfit for each day and pack only those items.,JP,6,I pack a variety of versatile clothes so I can choose what to wear each morning.,I plan out a specific outfit for each day and pack only those items.,True,correct,True,True,,False,True,i pack a variety of versatile clothes so i can choose what to wear each morning || i plan out a specific outfit for each day and pack only those items,False,I pack a variety of versatile clothes so I can choose what to wear each morning.,I plan out a specific outfit for each day and pack only those items.,P,J
Preparing for an upcoming certification exam.,"I study whichever topics catch my interest each day, adjusting my focus as I go.",I set a daily study schedule covering specific chapters and stick to it strictly.,JP,7,"I study whichever topics catch my interest each day, adjusting my focus as I go.",I set a daily study schedule covering specific chapters and stick to it strictly.,True,correct,True,True,,False,True,i set a daily study schedule covering specific chapters and stick to it strictly || i study whichever topics catch my interest each day adjusting my focus as i go,False,"I study whichever topics catch my interest each day, adjusting my focus as I go.",I set a daily study schedule covering specific chapters and stick to it strictly.,P,J
Hosting a casual house party.,I set out food and drinks and let the guests mingle and entertain themselves naturally.,I plan specific activities and a timeline for serving food to keep the evening moving.,JP,8,I set out food and drinks and let the guests mingle and entertain themselves naturally.,I plan specific activities and a timeline for serving food to keep the evening moving.,True,correct,True,True,,False,True,i plan specific activities and a timeline for serving food to keep the evening moving || i set out food and drinks and let the guests mingle and entertain themselves naturally,False,I set out food and drinks and let the guests mingle and entertain themselves naturally.,I plan specific activities and a timeline for serving food to keep the evening moving.,P,J
Managing your work email inbox.,I reply to messages as they catch my attention throughout the day to stay flexible.,I schedule dedicated times to process my emails and try to keep my inbox empty.,JP,9,I reply to messages as they catch my attention throughout the day to stay flexible.,I schedule dedicated times to process my emails and try to keep my inbox empty.,True,correct,True,True,,False,True,i reply to messages as they catch my attention throughout the day to stay flexible || i schedule dedicated times to process my emails and try to keep my inbox empty,False,I reply to messages as they catch my attention throughout the day to stay flexible.,I schedule dedicated times to process my emails and try to keep my inbox empty.,P,J
Cleaning and organizing the house.,I tidy up whenever I notice a mess or feel motivated to clean a particular area.,I have a set weekly schedule for specific cleaning tasks to keep the house organized.,JP,10,I tidy up whenever I notice a mess or feel motivated to clean a particular area.,I have a set weekly schedule for specific cleaning tasks to keep the house organized.,True,correct,True,True,,False,True,i have a set weekly schedule for specific cleaning tasks to keep the house organized || i tidy up whenever i notice a mess or feel motivated to clean a particular area,False,I tidy up whenever I notice a mess or feel motivated to clean a particular area.,I have a set weekly schedule for specific cleaning tasks to keep the house organized.,P,J
Thinking about future career goals.,I want to explore different roles and seize unexpected opportunities as they arise.,I prefer to map out a long-term career path with clear milestones to achieve.,JP,11,I want to explore different roles and seize unexpected opportunities as they arise.,I prefer to map out a long-term career path with clear milestones to achieve.,True,correct,True,True,,False,True,i prefer to map out a long term career path with clear milestones to achieve || i want to explore different roles and seize unexpected opportunities as they arise,False,I want to explore different roles and seize unexpected opportunities as they arise.,I prefer to map out a long-term career path with clear milestones to achieve.,P,J
Learning to play a musical instrument.,I like to play around with the instrument and learn songs that I enjoy by ear.,I prefer to follow a structured course with formal lessons and practice exercises.,JP,12,I like to play around with the instrument and learn songs that I enjoy by ear.,I prefer to follow a structured course with formal lessons and practice exercises.,True,correct,True,True,,False,True,i like to play around with the instrument and learn songs that i enjoy by ear || i prefer to follow a structured course with formal lessons and practice exercises,False,I like to play around with the instrument and learn songs that I enjoy by ear.,I prefer to follow a structured course with formal lessons and practice exercises.,P,J
Unpacking boxes after moving into a new home.,"I unpack things gradually as I need them, letting the layout develop over time.",I want to unpack everything immediately and have every room fully organized within days.,JP,13,"I unpack things gradually as I need them, letting the layout develop over time.",I want to unpack everything immediately and have every room fully organized within days.,True,correct,True,True,,False,True,i unpack things gradually as i need them letting the layout develop over time || i want to unpack everything immediately and have every room fully organized within days,False,"I unpack things gradually as I need them, letting the layout develop over time.",I want to unpack everything immediately and have every room fully organized within days.,P,J
Selecting a movie to watch with friends.,I prefer to look through the options together and choose something spur-of-the-moment.,I prefer to decide on the movie in advance so we do not waste time choosing.,JP,14,I prefer to look through the options together and choose something spur-of-the-moment.,I prefer to decide on the movie in advance so we do not waste time choosing.,True,correct,True,True,,False,True,i prefer to decide on the movie in advance so we do not waste time choosing || i prefer to look through the options together and choose something spur of the moment,False,I prefer to look through the options together and choose something spur-of-the-moment.,I prefer to decide on the movie in advance so we do not waste time choosing.,P,J
Having several independent tasks to complete today.,I like to bounce between tasks depending on my energy levels and interest.,"I prefer to focus on one task at a time, finishing it before moving on.",JP,15,I like to bounce between tasks depending on my energy levels and interest.,"I prefer to focus on one task at a time, finishing it before moving on.",True,correct,True,True,,False,True,i like to bounce between tasks depending on my energy levels and interest || i prefer to focus on one task at a time finishing it before moving on,False,I like to bounce between tasks depending on my energy levels and interest.,"I prefer to focus on one task at a time, finishing it before moving on.",P,J
Participating in a professional conference.,I like to wander around and drop into sessions that look interesting on the spot.,I review the program beforehand and create a personalized schedule of sessions to attend.,JP,16,I like to wander around and drop into sessions that look interesting on the spot.,I review the program beforehand and create a personalized schedule of sessions to attend.,True,correct,True,True,,False,True,i like to wander around and drop into sessions that look interesting on the spot || i review the program beforehand and create a personalized schedule of sessions to attend,False,I like to wander around and drop into sessions that look interesting on the spot.,I review the program beforehand and create a personalized schedule of sessions to attend.,P,J
Buying holiday gifts for family members.,I look around stores for inspiration and buy gifts when I find something that fits.,I make a list of ideas for each person weeks in advance and buy them early.,JP,17,I look around stores for inspiration and buy gifts when I find something that fits.,I make a list of ideas for each person weeks in advance and buy them early.,True,correct,True,True,,False,True,i look around stores for inspiration and buy gifts when i find something that fits || i make a list of ideas for each person weeks in advance and buy them early,False,I look around stores for inspiration and buy gifts when I find something that fits.,I make a list of ideas for each person weeks in advance and buy them early.,P,J
